"Story","Title","Result","Date","Stability","Duration (s)"
"Restful booker data driven test","Data driven test for creating multiple bookings","SUCCESS","2023-01-10T16:40:16.669Z[Europe/London]","0.0","13.82"
"Restful booker with tags","This test will return a correct response code 200 ","SUCCESS","2023-01-10T16:40:16.737Z[Europe/London]","0.0","0.96"
"Restful booker with tags","This method will get error code 404 when a method is use ","SUCCESS","2023-01-10T16:40:17.700Z[Europe/London]","0.0","0.5"
"Restful booker with tags","This test will provide an error code 403 ","SUCCESS","2023-01-10T16:40:18.196Z[Europe/London]","0.0","0.5"
"Restful Booker user creation","Check  CURD operations","SUCCESS","2023-01-10T16:40:00.506Z[Europe/London]","0.0","10.31"
"Endpoints of restfulbooker testing","Checking user can access all booking Id","SUCCESS","2023-01-10T16:40:11.769Z[Europe/London]","0.0","0.9"
"Endpoints of restfulbooker testing","Checking user can create a new booking","SUCCESS","2023-01-10T16:40:12.818Z[Europe/London]","0.0","1.03"
"Endpoints of restfulbooker testing","Checking user can update an existing booking","SUCCESS","2023-01-10T16:40:13.899Z[Europe/London]","0.0","0.95"
"Endpoints of restfulbooker testing","Checking user can delete an existing record","SUCCESS","2023-01-10T16:40:14.926Z[Europe/London]","0.0","0.91"
