"Story","Title","Result","Date","Stability","Duration (s)"
"Restful booker data driven test","Data driven test for creating multiple bookings","SUCCESS","2023-01-10T16:40:16.669Z[Europe/London]","0.0","13.82"
"Restful booker with tags","This test will return a correct response code 200 ","SUCCESS","2023-01-10T16:40:16.737Z[Europe/London]","0.0","0.96"
"Restful booker with tags","This method will get error code 404 when a method is use ","SUCCESS","2023-01-10T16:40:17.700Z[Europe/London]","0.0","0.5"
"Restful booker with tags","This test will provide an error code 403 ","SUCCESS","2023-01-10T16:40:18.196Z[Europe/London]","0.0","0.5"
